no	eng	rus	category1	category2
468	To lose the competition	Проиграть соревнование	спорт и хобби	
469	To score points, goals	Набирать очки, забивать голы	спорт и хобби	
470	To set records	Устанавливать рекорды	спорт и хобби	
471	To train	Тренироваться	спорт и хобби	
472	To win the competition	Победить в соревнованиях	спорт и хобби	
473	To win the cup	Выиграть кубок	спорт и хобби	
474	Tobogganing	Санный спорт	спорт и хобби	
475	Tournament	Турнир	спорт и хобби	
476	Track-and-field	Легкая атлетика	спорт и хобби	
477	Triathlon	Триатлон	спорт и хобби	
478	Triple jump	Тройной прыжок	спорт и хобби	
479	Tug of war	Перетягивание каната	спорт и хобби	
480	Volleyball	Волейбол	спорт и хобби	
481	Water polo	Водное поло	спорт и хобби	
482	Waterski	Водные лыжи	спорт и хобби	
483	Weight lifting	Тяжелая атлетика	спорт и хобби	
484	Working out	Занятия на снарядах	спорт и хобби	
485	Wrestling	Борьба	спорт и хобби	
259	Perhaps	Возможно, может быть	выражение согласия или несогласия	устойчивые сочетания
260	Of course / Sure	Конечно	выражение согласия или несогласия	устойчивые сочетания
261	Definitely	Определенно, непременно	выражение согласия или несогласия	устойчивые сочетания
262	Absolutely	Безусловно	выражение согласия или несогласия	устойчивые сочетания
263	Naturally	Естественно	выражение согласия или несогласия	устойчивые сочетания
264	Probably	Вероятно	выражение согласия или несогласия	устойчивые сочетания
265	You are right	Вы правы	выражение согласия или несогласия	устойчивые сочетания
266	It can hardly be so	Вряд ли это так	выражение согласия или несогласия	устойчивые сочетания
267	Very well	Очень хорошо	выражение согласия или несогласия	устойчивые сочетания
268	Most likely	Скорее всего	выражение согласия или несогласия	устойчивые сочетания
269	Most unlikely	Вряд ли	выражение согласия или несогласия	устойчивые сочетания
270	Not a bit	Ничуть	выражение согласия или несогласия	устойчивые сочетания
271	I believe so / suppose so	Полагаю, что это так	выражение согласия или несогласия	устойчивые сочетания
272	I doubt it	Сомневаюсь	выражение согласия или несогласия	устойчивые сочетания
273	No way	Ни за что, ни в коем случае	выражение согласия или несогласия	устойчивые сочетания
274	Exactly so	Именно так	выражение согласия или несогласия	устойчивые сочетания
275	Quite so	Вполне верно	выражение согласия или несогласия	устойчивые сочетания
276	I agree with you	Я с вами согласен	выражение согласия или несогласия	устойчивые сочетания
277	I am afraid you are wrong	Боюсь, что вы не правы	выражение согласия или несогласия	устойчивые сочетания
278	I’m afraid so	Боюсь, что так	выражение согласия или несогласия	устойчивые сочетания
279	I’m not sure	Не уверен	выражение согласия или несогласия	устойчивые сочетания
280	I don’t think so	Я так не думаю; вряд ли	выражение согласия или несогласия	устойчивые сочетания
281	In a way / to a certain extent	В каком-то смысле	выражение согласия или несогласия	устойчивые сочетания
282	No doubt	Несомненно	выражение согласия или несогласия	устойчивые сочетания
283	I’m in / I’m game	Я «за» (в ответ на предложение куда-либо сходить или что-либо сделать)	выражение согласия или несогласия	устойчивые сочетания
284	I think I’ll pass	Лучше без меня	выражение согласия или несогласия	устойчивые сочетания
285	Deal!	Идет!	выражение согласия или несогласия	устойчивые сочетания
286	It’s a great idea!	Отличная идея!	выражение согласия или несогласия	устойчивые сочетания
287	Not a very good idea	Не самая хорошая идея	выражение согласия или несогласия	устойчивые сочетания
288	I’m looking forward to it	Жду этого с нетерпением	выражение согласия или несогласия	устойчивые сочетания
909	Tableware	Посуда	Столовые приборы	
910	Cup	Чашка	Столовые приборы	
911	Fork	Вилка	Столовые приборы	
912	Spoon	Ложка	Столовые приборы	
913	Glass	Стакан	Столовые приборы	
914	Kettle	Чайник	Столовые приборы	
915	Knife	Нож	Столовые приборы	
916	Bowl	Миска	Столовые приборы	
917	Plate	Тарелка	Столовые приборы	
918	Saucepan	Кастрюля	Столовые приборы	
919	Blender	Блендер	Столовые приборы	
920	Microwave (oven)	Микроволновка	Столовые приборы	
921	Plate	Плита	Столовые приборы	
922	Refrigerator / fridge	Холодильник	Столовые приборы	
923	Kitchen table	Кухонный стол	Столовые приборы	
924	Fry	Жарить	Столовые приборы	
925	Boil	Варить	Столовые приборы	
926	Grill	Готовить на гриле	Столовые приборы	
927	Stew	Тушить	Столовые приборы	
928	Portion	Порция	Столовые приборы	
929	Volume	Объем	Столовые приборы	
95	Word		Существительные	
96	Water		Существительные	
97	Place		Существительные	
98	Sentence		Существительные	
99	End		Существительные	
100	Picture		Существительные	
101	Letter		Существительные	
102	World		Существительные	
103	Father		Существительные	
104	Head		Существительные	
105	Group		Существительные	
106	Mile		Существительные	
107	Book		Существительные	
108	Mountain		Существительные	
109	Time		Существительные	
110	Day		Существительные	
111	Year		Существительные	
112	Man		Существительные	
113	Men		Существительные	
114	Air		Существительные	
115	Point		Существительные	
116	Food		Существительные	
117	Tree		Существительные	
118	Story		Существительные	
119	Children		Существительные	
120	Night		Существительные	
121	Idea		Существительные	
122	List		Существительные	
123	Number		Существительные	
124	Part		Существительные	
125	Back		Существительные	
126	Line		Существительные	
127	Land		Существительные	
128	Animal		Существительные	
129	Mother		Существительные	
130	Country		Существительные	
131	City		Существительные	
132	Example		Существительные	
133	Side		Существительные	
134	Sea		Существительные	
135	Face		Существительные	
136	Song		Существительные	
137	Way		Существительные	
138	Sound		Существительные	
139	Thing		Существительные	
140	Boy		Существительные	
141	Home		Существительные	
142	House		Существительные	
143	Answer		Существительные	
144	Plant		Существительные	
145	Earth		Существительные	
146	Life		Существительные	
147	Feet		Существительные	
148	River		Существительные	
149	Indian		Существительные	
150	Family		Существительные	
151	People		Существительные	
152	Work		Существительные	
153	Name		Существительные	
154	Farm		Существительные	
155	Hand		Существительные	
156	Page		Существительные	
157	America		Существительные	
158	School		Существительные	
159	Eye		Существительные	
160	Paper		Существительные	
161	Car		Существительные	
162	State		Существительные	
163	Girl		Существительные	
164	Pen		Существительные	
619	University	Университет	учеба и образование	
620	School	Школа	учеба и образование	
621	College	Колледж	учеба и образование	
622	Lesson	Урок	учеба и образование	
623	Knowledge	Знания	учеба и образование	
624	Education	Образование	учеба и образование	
625	Science	Наука	учеба и образование	
626	Book	Книга	учеба и образование	
627	Copybook	Тетрадь	учеба и образование	
628	Page	Страница	учеба и образование	
629	Pencil	Карандаш	учеба и образование	
630	Pen	Ручка	учеба и образование	
631	Grammar	Грамматика	учеба и образование	
632	Speaking	Разговорный (английский)	учеба и образование	
633	Article	Статья	учеба и образование	
634	Learning	Изучение	учеба и образование	
635	School uniforms	Школьная форма	учеба и образование	
636	Course	Курс	учеба и образование	
637	Word	Слово	учеба и образование	
638	Noun	Существительное	учеба и образование	
639	Verb	Глагол	учеба и образование	
640	Modal verb	Модальный глагол	учеба и образование	
641	Adjective	Прилагательное	учеба и образование	
642	Sentence	Предложение	учеба и образование	
643	Subject	Предмет	учеба и образование	
644	Homework	Домашняя работа	учеба и образование	
645	Table	Таблица	учеба и образование	
646	Practice	Практика	учеба и образование	
647	Foreign language	Иностранный язык	учеба и образование	
648	English	Английский	учеба и образование	
649	Russian	Русский	учеба и образование	
650	Task	Задача	учеба и образование	
651	Rule	Правило	учеба и образование	
652	Theory	Теория	учеба и образование	
653	List	Список	учеба и образование	
654	Dictionary	Словарь	учеба и образование	
655	Vocabulary	Словарный запас	учеба и образование	
656	Content	Содержание	учеба и образование	
657	Paper	Бумага	учеба и образование	
658	Meaning / sense	Значение, смысл	учеба и образование	
659	Bell	Звонок	учеба и образование	
660	Behaviour	Поведение	учеба и образование	
661	Stage	Этап	учеба и образование	
662	Option	Вариант	учеба и образование	
663	Degree	Степень	учеба и образование	
664	Test	Тест	учеба и образование	
665	Exercise	Упражнение	учеба и образование	
666	Exam	Экзамен	учеба и образование	
667	Statement	Утверждение	учеба и образование	
668	Mistake	Ошибка	учеба и образование	
669	Memory	Память	учеба и образование	
670	Part	Часть	учеба и образование	
671	Example	Пример	учеба и образование	
672	Lexicon	Лексикон	учеба и образование	
673	History	История	учеба и образование	
674	Literature	Литература	учеба и образование	
675	Math	Математика	учеба и образование	
676	Music	Музыка	учеба и образование	
677	Note	Нота	учеба и образование	
678	Holidays	Каникулы	учеба и образование	
679	Journal / magazine	Журнал	учеба и образование	
680	Base	База, основа	учеба и образование	
681	Story	Рассказ	учеба и образование	
682	Group	Группа	учеба и образование	
683	Choice	Выбор	учеба и образование	
684	Point	Пункт, точка	учеба и образование	
686	Algebra	Алгебра	учеба и образование	
687	Geometry	Геометрия	учеба и образование	
688	Triginometry	Тригонометрия	учеба и образование	
689	Physics	Физика	учеба и образование	
690	Chemistry	Химия	учеба и образование	
691	Music	Музыка	учеба и образование	
692	Drawing	Рисование	учеба и образование	
693	Technical drawing	Черчение	учеба и образование	
694	Physical education	Физкультура	учеба и образование	
695	Homework	Домашнее задание	учеба и образование	
696	Sum	Пример (математический)	учеба и образование	
697	Question	Вопрос	учеба и образование	
698	Answer	Ответ	учеба и образование	
699	Finals	Выпускные экзамены	учеба и образование	
700	Test	Зачет	учеба и образование	
701	Examine	Экзаменовать	учеба и образование	
702	Examiner	Экзаминатор	учеба и образование	
703	Text	Текст	учеба и образование	
704	Ask	Спрашивать урок	учеба и образование	
705	Correct	Исправлять	учеба и образование	
706	Copy off	Списывать	учеба и образование	
707	Prompt	Подсказать	учеба и образование	
708	Crib	Шпаргалка	учеба и образование	
709	Mark	Оценка	учеба и образование	
710	School mark	Отметка	учеба и образование	
711	Excellent	Отлично	учеба и образование	
712	Good	Хорошо	учеба и образование	
713	Satisfactiry	Удовлетворительно	учеба и образование	
714	Unsatisfactory	Неудовлетворительно	учеба и образование	
715	Graduate	Выпускник	учеба и образование	
716	Expel	Отчислить	учеба и образование	
717	Pupil’s mark book	Дневник	учеба и образование	
718	Register	Журнал	учеба и образование	
719	School-leaving certificate	Аттестат	учеба и образование	
720	Certificate	Свидетельство	учеба и образование	
721	Diploma	Диплом	учеба и образование	
722	Schoolmaster	Педагог	учеба и образование	
723	Associate professor	Доцент	учеба и образование	
724	Schoolboy	Школьник	учеба и образование	
725	Pupil of the first class	Первоклассник	учеба и образование	
726	Senior pupil	Старшеклассник	учеба и образование	
727	Classmate	Одноклассник	учеба и образование	
728	Student of the first year	Первокурсник	учеба и образование	
729	Senior student	Старшекурсник	учеба и образование	
730	Student engaged on degree thesis	Дипломник	учеба и образование	
731	Trainee	Стажер	учеба и образование	
732	Master’s degree	Магистр	учеба и образование	
733	Headmaster	Директор школы	учеба и образование	
734	Dean’s office	Деканат	учеба и образование	
735	Dean	Декан	учеба и образование	
736	Principal	Ректор	учеба и образование	
737	Vice-principal	Проректор	учеба и образование	
738	Audience	Аудитория	учеба и образование	
739	Private office	Кабинет	учеба и образование	
740	Laboratory	Лаборатория	учеба и образование	
290	Body	Тело	человек	части тела
291	Head	Голова	человек	части тела
292	Face	Лицо	человек	части тела
293	Eye	Глаз	человек	части тела
294	Nose	Нос	человек	части тела
295	Shoulder	Плечо	человек	части тела
296	Mouth	Рот	человек	части тела
297	Hand, arm	Рука	человек	части тела
298	Leg	Нога	человек	части тела
299	Foot	Ступня	человек	части тела
300	Heart	Сердце	человек	части тела
301	Hair	Волосы	человек	части тела
302	Skin	Кожа	человек	части тела
303	Blood	Кровь	человек	части тела
304	Thigh	Бедро	человек	части тела
305	Health	Здоровье	человек
306	Vision	Зрение	человек
307	Appearance	Внешность	человек	характеристика человека
308	Height	Рост	человек	характеристика человека
309	Tall	Высокий, длинный	человек	характеристика человека
310	Short	Низкий, короткий	человек	характеристика человека
311	Thin	Худой	человек	характеристика человека
312	Thick, fat	Толстый	человек	характеристика человека
313	Nice	Милый	человек	характеристика человека
314	Beautiful	Красивый	человек	характеристика человека
315	Ugly	Безобразный	человек	характеристика человека
317	Fear	Страх	человек	чувства
318	Shame	Стыд	человек	чувства
319	Sadness	Грусть	человек	чувства
320	Anger	Злость	человек	чувства
321	Care	Забота	человек	чувства
322	Lie	Ложь	человек	чувства
323	Beauty	Красота	человек	чувства
324	Pain	Боль	человек	чувства
325	Kind	Добрый	человек	характеристика человека
326	Active	Активный	человек	характеристика человека
327	Strong	Сильный	человек	характеристика человека
328	Calm	Спокойный	человек	характеристика человека
329	Serious	Серьезный	человек	характеристика человека
330	Clever / smart	Умный	человек	характеристика человека
331	Stupid	Глупый	человек	характеристика человека
332	Poor	Бедный	человек	характеристика человека
333	Rich	Богатый	человек	характеристика человека
334	Interesting	Интересный	человек	характеристика человека
335	Good	Хороший	человек	характеристика человека
336	Happy	Счастливый	человек	характеристика человека
337	Dead	Мертвый	человек	характеристика человека
338	Wise	Мудрый	человек	характеристика человека
